StockCode,Description,TotalAmount_sum,TotalAmount_mean,TotalAmount_count,Quantity_sum,Quantity_mean,UnitPrice_mean,UnitPrice_std,CustomerID_nunique,InvoiceNo_nunique,Revenue_per_Customer,Avg_Quantity_per_Transaction,Revenue_Category,Popularity_Category
22989,SET 2 PANTRY DESIGN TEA TOWELS,8381.67,26.11,321,2715,8.46,3.23,0.09,240,314,34.92,8.65,Premium,Best-Seller
22990,COTTON APRON PANTRY DESIGN,3248.99,20.96,155,733,4.73,4.77,0.89,117,151,27.77,4.85,Premium,Best-Seller
22991,GIRAFFE WOODEN RULER,7994.94,32.5,246,4418,17.96,2.05,0.48,185,239,43.22,18.49,Premium,Best-Seller
22992,REVOLVER WOODEN RULER ,10131.99,33.44,303,5627,18.57,1.96,0.23,217,292,46.69,19.27,Premium,Best-Seller
22993,SET OF 4 PANTRY JELLY MOULDS,14250.17,15.82,901,11848,13.15,1.26,0.15,430,874,33.14,13.56,Premium,Best-Seller
22994,TRAVEL CARD WALLET RETROSPOT,896.1,5.3,169,2137,12.64,0.42,0.0,89,166,10.07,12.87,High,Best-Seller
22995,TRAVEL CARD WALLET SUKI,956.82,5.04,190,2285,12.03,0.42,0.01,90,186,10.63,12.28,High,Best-Seller
22996,TRAVEL CARD WALLET VINTAGE TICKET,1891.08,6.2,305,4578,15.01,0.42,0.01,155,296,12.2,15.47,High,Best-Seller
22997,TRAVEL CARD WALLET UNION JACK,1092.66,5.63,194,2605,13.43,0.42,0.0,101,189,10.82,13.78,High,Best-Seller
22998,TRAVEL CARD WALLET KEEP CALM,4767.74,10.39,459,11946,26.03,0.43,0.06,218,448,21.87,26.67,Premium,Best-Seller
22999,TRAVEL CARD WALLET RETRO PETALS,624.36,6.79,92,1490,16.2,0.42,0.01,61,88,10.24,16.93,High,Popular
22999,TRAVEL CARD WALLET VINTAGE LEAF,582.96,5.66,103,1388,13.48,0.42,0.0,66,99,8.83,14.02,High,Popular
23000,TRAVEL CARD WALLET TRANSPORT,1291.98,6.09,212,3083,14.54,0.42,0.0,126,209,10.25,14.75,High,Best-Seller
23002,TRAVEL CARD WALLET SKULLS,925.08,6.05,153,2206,14.42,0.42,0.0,85,148,10.88,14.91,High,Best-Seller
23003,TRAVEL CARD WALLET VINTAGE ROSE ,225.78,4.26,53,541,10.21,0.42,0.01,38,52,5.94,10.4,Medium,Popular
23004,TRAVEL CARD WALLET PANTRY,860.96,6.47,133,2046,15.38,0.43,0.06,73,127,11.79,16.11,High,Best-Seller
23005,TRAVEL CARD WALLET I LOVE LONDON,1789.14,9.78,183,4397,24.03,0.42,0.01,105,176,17.04,24.98,High,Best-Seller
23006,TRAVEL CARD WALLET FLOWER MEADOW,744.9,5.48,136,1777,13.07,0.42,0.01,88,135,8.46,13.16,High,Best-Seller
23007, SPACEBOY BABY GIFT SET,7150.25,49.31,145,455,3.14,16.52,0.82,109,144,65.6,3.16,Premium,Best-Seller
23008,DOLLY GIRL BABY GIFT SET,6669.65,53.36,125,427,3.42,16.44,0.88,98,123,68.06,3.47,Premium,Popular
23009,I LOVE LONDON BABY GIFT SET,3262.55,53.48,61,209,3.43,16.43,0.89,48,61,67.97,3.43,Premium,Popular
23010,CIRCUS PARADE BABY GIFT SET,4495.6,49.4,91,288,3.16,16.49,0.85,73,91,61.58,3.16,Premium,Popular
23012,GLASS APOTHECARY BOTTLE PERFUME,3803.14,18.37,207,1024,4.95,3.88,0.36,150,202,25.35,5.07,Premium,Best-Seller
23013,GLASS APOTHECARY BOTTLE TONIC,3238.74,17.51,185,872,4.71,3.89,0.38,135,183,23.99,4.77,Premium,Best-Seller
23014,GLASS APOTHECARY BOTTLE ELIXIR,2991.28,18.02,166,808,4.87,3.91,0.52,121,162,24.72,4.99,Premium,Best-Seller
23015,CORDIAL GLASS JUG,313.5,17.42,18,38,2.11,8.25,0.0,14,16,22.39,2.38,Medium,Occasional
23015,CORDIAL JUG,49.5,24.75,2,6,3.0,8.25,0.0,2,2,24.75,3.0,Low,Niche
23016,GLASS TWIST BON BON JAR,532.8,26.64,20,72,3.6,7.67,0.44,19,20,28.04,3.6,Medium,Occasional
23017,APOTHECARY MEASURING JAR,763.9,34.72,22,65,2.95,12.19,0.58,20,22,38.2,2.95,High,Occasional
23018,LARGE APOTHECARY MEASURING JAR ,587.2,29.36,20,50,2.5,12.3,0.49,19,20,30.91,2.5,High,Occasional
23019,SMALL APOTHECARY MEASURING JAR ,629.05,22.47,28,81,2.89,8.08,0.33,26,28,24.19,2.89,High,Occasional
23020,GLASS  SONGBIRD STORAGE JAR,2038.95,27.19,75,171,2.28,12.34,0.44,65,75,31.37,2.28,Premium,Popular
23020,GLASS SONGBIRD STORAGE JAR,126.7,42.23,3,11,3.67,12.05,0.78,3,3,42.23,3.67,Medium,Niche
23021,GLASS BONNE JAM JAR,480.1,18.47,26,118,4.54,4.13,0.08,24,25,20.0,4.72,Medium,Occasional
23022,SMALL BONNE JAM JAR  T-LIGHT HOLDER,858.08,34.32,25,446,17.84,2.03,0.11,19,23,45.16,19.39,High,Occasional
23023,RIDGED BONNE JAM JAR T-LIGHT HOLDER,434.54,16.71,26,274,10.54,1.7,0.33,23,24,18.89,11.42,Medium,Occasional
23024,LARGE BONNE JAM JAR  T-LIGHT HOLDER,667.04,60.64,11,256,23.27,2.71,0.21,8,11,83.38,23.27,High,Occasional
23025,DRAWER KNOB VINTAGE GLASS BALL,682.09,14.51,47,323,6.87,2.12,0.3,40,47,17.05,6.87,High,Popular
23026,DRAWER KNOB VINTAGE GLASS STAR,1048.17,18.07,58,518,8.93,2.11,0.28,43,55,24.38,9.42,High,Popular
23027,DRAWER KNOB VINTAGE GLASS HEXAGON,596.96,22.11,27,287,10.63,2.08,0.0,26,27,22.96,10.63,High,Occasional
23028,DOORKNOB CRACKED GLAZE BLUE,238.5,79.5,3,162,54.0,1.58,0.12,3,3,79.5,54.0,Medium,Niche
23028,DRAWER KNOB CRACKLE GLAZE BLUE,1773.24,15.29,116,1092,9.41,1.66,0.15,87,114,20.38,9.58,High,Popular
23029,DOORKNOB CRACKED GLAZE GREEN,19.8,9.9,2,12,6.0,1.65,0.0,2,2,9.9,6.0,Low,Niche
23029,DRAWER KNOB CRACKLE GLAZE GREEN,2106.6,14.63,144,1300,9.03,1.65,0.02,97,144,21.72,9.03,Premium,Best-Seller
23031,DOORKNOB CRACKED GLAZE PINK,19.8,9.9,2,12,6.0,1.65,0.0,2,2,9.9,6.0,Low,Niche
23031,DRAWER KNOB CRACKLE GLAZE PINK,2030.7,13.81,147,1254,8.53,1.65,0.02,93,145,21.84,8.65,Premium,Best-Seller
23032,DOORKNOB CRACKED GLAZE IVORY,268.2,44.7,6,180,30.0,1.62,0.08,5,5,53.64,36.0,Medium,Niche
23032,DRAWER KNOB CRACKLE GLAZE IVORY,3437.7,17.63,195,2130,10.92,1.65,0.03,115,188,29.89,11.33,Premium,Best-Seller
23033,DRAWER KNOB CERAMIC RED,952.45,15.87,60,685,11.42,1.44,0.04,42,59,22.68,11.61,High,Popular
23034,DRAWER KNOB CERAMIC BLACK,1341.05,16.16,83,953,11.48,1.44,0.04,57,79,23.53,12.06,High,Popular
23035,DOORKNOB CERAMIC IVORY,52.2,52.2,1,36,36.0,1.45,,1,1,52.2,36.0,Low,Niche
23035,DRAWER KNOB CERAMIC IVORY,2902.54,16.97,171,2062,12.06,1.45,0.15,110,167,26.39,12.35,Premium,Best-Seller
23036,T-LIGHT HOLDER SILVER PETIT FOUR ,228.75,14.3,16,183,11.44,1.25,0.0,14,15,16.34,12.2,Medium,Occasional
23037,CANDLE HOLDER SILVER MADELINE,315.29,17.52,18,193,10.72,1.73,0.39,17,18,18.55,10.72,Medium,Occasional
23038,T-LIGHT HOLDER SILVER SAUCER,38.03,6.34,6,41,6.83,1.23,0.44,4,6,9.51,6.83,Low,Niche
23039,T-LIGHT HOLDER SILVER HEART HANDLE,382.5,15.94,24,198,8.25,1.94,0.06,22,23,17.39,8.61,Medium,Occasional
23040,PAPER LANTERN 9 POINT SNOW STAR,69.0,17.25,4,12,3.0,5.75,0.0,4,4,17.25,3.0,Low,Niche
23040,PAPER LANTERN 9 POINT SNOW STAR ,1249.5,36.75,34,234,6.88,5.73,0.14,30,32,41.65,7.31,High,Occasional
23041,PAPER LANTERN 6 POINT SNOW STAR,107.9,17.98,6,26,4.33,4.15,0.0,6,6,17.98,4.33,Low,Niche
23041,PAPER LANTERN 9 POINT SNOW STAR,1070.7,24.9,43,258,6.0,4.15,0.0,40,43,26.77,6.0,High,Occasional
23042,PAPER LANTERN 7 POINT SNOW STAR,724.85,27.88,26,109,4.19,6.65,0.0,25,26,28.99,4.19,High,Occasional
23043,PAPER LANTERN 9 POINT HOLLY STAR 40,37.5,12.5,3,6,2.0,6.25,0.0,3,3,12.5,2.0,Low,Niche
23043,PAPER LANTERN 9 POINT HOLLY STAR L,431.25,26.95,16,69,4.31,6.25,0.0,15,16,28.75,4.31,Medium,Occasional
23044,PAPER LANTERN 9 POINT HOLLY STAR 23,74.7,14.94,5,18,3.6,4.15,0.0,5,5,14.94,3.6,Low,Niche
23044,PAPER LANTERN 9 POINT HOLLY STAR S,352.75,16.03,22,85,3.86,4.15,0.0,19,19,18.57,4.47,Medium,Occasional
23045,PAPER LANTERN 5 POINT STAR MOON ,506.3,28.13,18,122,6.78,4.15,0.0,16,18,31.64,6.78,Medium,Occasional
23045,PAPER LANTERN 5 POINT STAR MOON 30,41.5,8.3,5,10,2.0,4.15,0.0,5,5,8.3,2.0,Low,Niche
23046,PAPER LANTERN 9 POINT DELUXE STAR,2078.25,62.98,33,345,10.45,6.62,0.16,30,33,69.28,10.45,Premium,Occasional
23047,PAPER LANTERN 5 POINT SEQUIN STAR,287.5,13.07,22,50,2.27,5.75,0.0,21,21,13.69,2.38,Medium,Occasional
23047,PAPER LANTERN 5 POINT STUDDED STAR,46.0,11.5,4,8,2.0,5.75,0.0,4,4,11.5,2.0,Low,Niche
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,2397.54,24.97,96,596,6.21,4.19,0.42,81,89,29.6,6.7,Premium,Popular
23049,RECYCLED ACAPULCO MAT RED,3597.5,21.04,171,438,2.56,8.25,0.06,103,171,34.93,2.56,Premium,Best-Seller
23050,RECYCLED ACAPULCO MAT GREEN,3771.8,21.31,177,460,2.6,8.24,0.08,116,177,32.52,2.6,Premium,Best-Seller
23051,RECYCLED ACAPULCO MAT BLUE,2757.85,20.43,135,337,2.5,8.24,0.1,95,135,29.03,2.5,Premium,Best-Seller
23052,RECYCLED ACAPULCO MAT TURQUOISE,4703.0,21.18,222,572,2.58,8.25,0.05,147,222,31.99,2.58,Premium,Best-Seller
23053,RECYCLED ACAPULCO MAT PINK,2606.4,19.9,131,320,2.44,8.23,0.12,105,130,24.82,2.46,Premium,Popular
23054,RECYCLED ACAPULCO MAT LAVENDER,2214.45,19.95,111,269,2.42,8.24,0.08,81,110,27.34,2.45,Premium,Popular
23055,IVORY CHANDELIER T-LIGHT HOLDER,1881.44,44.8,42,896,21.33,5.24,2.0,32,39,58.8,22.97,High,Occasional
23056,CRYSTAL CHANDELIER T-LIGHT HOLDER,18.75,18.75,1,3,3.0,6.25,,1,1,18.75,3.0,Low,Niche
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,4552.73,98.97,46,1349,29.33,5.91,2.47,32,42,142.27,32.12,Premium,Popular
23057,BEADED CHANDELIER T-LIGHT HOLDER,1853.44,44.13,42,936,22.29,4.32,1.8,32,39,57.92,24.0,High,Occasional
23057,GEMSTONE CHANDELIER T-LIGHT HOLDER,347.7,49.67,7,78,11.14,4.84,0.3,7,7,49.67,11.14,Medium,Niche
23058,CHRISTMAS HANGING SNOWFLAKE,421.02,9.57,44,486,11.05,1.11,1.08,39,44,10.8,11.05,Medium,Occasional
23060,HEART BEADED TRELLIS DECORATION,507.52,12.38,41,244,5.95,2.08,0.0,34,39,14.93,6.26,Medium,Occasional
23061,VINTAGE EMBOSSED HEART,1128.71,12.83,88,907,10.31,1.25,0.02,72,85,15.68,10.67,High,Popular
23061,VINTAGE ENGRAVED HEART,75.0,18.75,4,60,15.0,1.25,0.0,4,4,18.75,15.0,Low,Niche
23064,CINDERELLA CHANDELIER ,5131.65,160.36,32,291,9.09,42.17,14.42,20,32,256.58,9.09,Premium,Occasional
23065,LARGE DECO JEWELLERY STAND,3002.8,33.36,90,248,2.76,12.47,0.2,77,89,39.0,2.79,Premium,Popular
23065,LARGE JEWELLERY STAND,125.0,31.25,4,10,2.5,12.5,0.0,4,4,31.25,2.5,Medium,Niche
23066,SMALL DECO JEWELLERY STAND,1839.9,25.91,71,230,3.24,8.23,0.13,64,71,28.75,3.24,High,Popular
23066,SMALL JEWELLERY STAND,132.0,22.0,6,16,2.67,8.25,0.0,6,6,22.0,2.67,Medium,Niche
23067,HANGING ENGRAVED METAL HEART,1149.55,14.74,78,277,3.55,4.15,0.0,63,71,18.25,3.9,High,Popular
23068,ALUMINIUM HEART,74.7,12.45,6,30,5.0,2.49,0.0,6,6,12.45,5.0,Low,Niche
23068,ALUMINIUM STAMPED HEART,1852.55,14.7,126,771,6.12,2.48,0.07,99,123,18.71,6.27,High,Popular
23069,EDWARDIAN PHOTO FRAME,556.25,17.38,32,89,2.78,6.25,0.0,27,31,20.6,2.87,Medium,Occasional
23070,EDWARDIAN HEART PHOTO FRAME,610.05,18.49,33,147,4.45,4.15,0.0,29,33,21.04,4.45,High,Occasional
23071,MARIE ANTOIENETT TRINKET BOX GOLD,12.5,12.5,1,1,1.0,12.5,,1,1,12.5,1.0,Low,Niche
23071,MARIE ANTOINETTE TRINKET BOX GOLD,1651.6,66.06,25,392,15.68,10.31,4.02,15,20,110.11,19.6,High,Occasional
23072,MARIE ANTOINETTE TRINKET BOX SILVER,1483.0,61.79,24,398,16.58,10.27,4.1,21,24,70.62,16.58,High,Occasional
23073,GEORGIAN TRINKET BOX,1706.5,27.98,61,143,2.34,12.41,0.34,49,60,34.83,2.38,High,Popular
23074,EMBOSSED HEART TRINKET BOX,464.82,12.56,37,231,6.24,2.06,0.07,32,36,14.53,6.42,Medium,Occasional
23075,DOUBLE CERAMIC PARLOUR HOOK,91.3,18.26,5,22,4.4,4.15,0.0,5,5,18.26,4.4,Low,Niche
23075,PARLOUR CERAMIC WALL HOOK,1981.1,24.46,81,482,5.95,4.15,0.04,58,78,34.16,6.18,High,Popular
23076,ICE CREAM SUNDAE LIP GLOSS,9703.16,38.66,251,7948,31.67,1.24,0.03,202,250,48.04,31.79,Premium,Best-Seller
23077,DOUGHNUT LIP GLOSS ,11715.7,37.55,312,9722,31.16,1.24,0.04,217,311,53.99,31.26,Premium,Best-Seller
23078,ICE CREAM PEN LIP GLOSS ,8107.31,37.88,214,6631,30.99,1.25,0.03,158,214,51.31,30.99,Premium,Best-Seller
23079, TOADSTOOL BEDSIDE LIGHT ,17.9,17.9,1,2,2.0,8.95,,1,1,17.9,2.0,Low,Niche
23079,TOADSTOOL BEDSIDE LIGHT ,2306.0,20.77,111,260,2.34,8.94,0.09,81,108,28.47,2.41,Premium,Popular
23080,RED METAL BOX TOP SECRET,8036.28,34.34,234,1012,4.32,8.35,1.11,147,227,54.67,4.46,Premium,Best-Seller
23081,GREEN METAL BOX ARMY SUPPLIES,3515.64,30.84,114,442,3.88,8.34,1.13,77,113,45.66,3.91,Premium,Popular
23081,GREEN METAL BOX TOP SECRET,132.0,33.0,4,16,4.0,8.25,0.0,4,4,33.0,4.0,Medium,Niche
23082,SET 6 PAPER TABLE LANTERN HEARTS ,8225.09,29.69,277,2291,8.27,3.72,0.11,204,267,40.32,8.58,Premium,Best-Seller
23083,SET 6 PAPER TABLE LANTERN STARS ,6946.3,32.46,214,1921,8.98,3.76,0.38,161,210,43.14,9.15,Premium,Best-Seller
23084,RABBIT NIGHT LIGHT,51554.6,60.16,857,27310,31.87,2.01,0.26,450,816,114.57,33.47,Premium,Best-Seller
23085,ANTIQUE SILVER BAUBLE LAMP  ,3618.45,42.08,86,387,4.5,10.05,0.8,64,77,56.54,5.03,Premium,Popular
23086,ZINC  STAR T-LIGHT HOLDER ,1381.54,37.34,37,1202,32.49,1.23,0.06,30,36,46.05,33.39,High,Occasional
23086,ZINC STAR T-LIGHT HOLDER ,10.0,10.0,1,8,8.0,1.25,,1,1,10.0,8.0,Low,Niche
23087,ZINC  HEART T-LIGHT HOLDER,1015.93,20.32,50,845,16.9,1.24,0.05,43,50,23.63,16.9,High,Popular
23088,ZINC HEART FLOWER T-LIGHT HOLDER,947.18,16.62,57,760,13.33,1.31,0.28,52,57,18.22,13.33,High,Popular
23089,GLASS BON BON JAR,3522.87,24.3,145,2151,14.83,1.77,0.2,101,141,34.88,15.26,Premium,Best-Seller
23090,VINTAGE GLASS T-LIGHT HOLDER,1731.09,13.63,127,2139,16.84,0.86,0.16,96,123,18.03,17.39,High,Popular
23091,METAL HERB GERDEN CONTAINER,139.68,27.94,5,24,4.8,6.08,0.38,5,5,27.94,4.8,Medium,Niche
23091,ZINC HERB GARDEN CONTAINER,3392.32,17.05,199,553,2.78,6.29,0.64,155,191,21.89,2.9,Premium,Best-Seller
23092,LARGE ANTIQUE WHITE PHOTO FRAME,3661.81,27.12,135,519,3.84,7.8,0.4,96,134,38.14,3.87,Premium,Best-Seller
23093,SMALL PARISIENNE HEART PHOTO FRAME ,2132.63,16.93,126,919,7.29,2.47,0.11,105,125,20.31,7.35,Premium,Popular
23094,LE GRAND TRAY CHIC SET,1862.5,24.51,76,149,1.96,12.5,0.0,65,76,28.65,1.96,High,Popular
23096,PETIT TRAY CHIC,1629.83,13.7,119,1007,8.46,1.73,0.36,89,117,18.31,8.61,High,Popular
23099,FRENCH CARRIAGE LANTERN,912.1,15.46,59,140,2.37,6.59,0.23,46,58,19.83,2.41,High,Popular
23100,SILVER BELLS TABLE DECORATION,2567.1,11.51,223,2094,9.39,1.25,0.03,180,214,14.26,9.79,Premium,Best-Seller
23101,SILVER STARS TABLE DECORATION,1574.6,8.03,196,1948,9.94,0.83,0.02,175,190,9.0,10.25,High,Best-Seller
23102,SILVER HEARTS TABLE DECORATION,1006.95,6.99,144,1245,8.65,0.83,0.02,128,139,7.87,8.96,High,Best-Seller
23103,BELL HEART DECORATION,387.0,43.0,9,252,28.0,1.63,0.07,9,9,43.0,28.0,Medium,Niche
23103,JINGLE BELL HEART DECORATION,6115.35,18.64,328,3715,11.33,1.65,0.02,224,310,27.3,11.98,Premium,Best-Seller
23104,IVORY CAFE HANGING LAMP ,1330.5,30.94,43,114,2.65,12.3,0.62,37,43,35.96,2.65,High,Occasional
23104,IVORY PANTRY HANGING LAMP ,25.0,25.0,1,2,2.0,12.5,,1,1,25.0,2.0,Low,Niche
23106,ZINC HEARTS PLANT POT HOLDER,780.83,15.62,50,287,5.74,2.77,0.72,48,50,16.27,5.74,High,Popular
23106,ZINC PLANT POT HOLDER,23.12,23.12,1,8,8.0,2.89,,1,1,23.12,8.0,Low,Niche
23107,WHITE HEARTS WIRE PLANT POT HOLDER,873.56,14.81,59,324,5.49,2.73,0.53,58,59,15.06,5.49,High,Popular
23107,WHITE WIRE PLANT POT HOLDER,46.24,23.12,2,16,8.0,2.89,0.0,2,2,23.12,8.0,Low,Niche
23108,SET OF 10 LED DOLLY LIGHTS,13265.33,35.95,369,2252,6.1,6.14,0.49,269,366,49.31,6.15,Premium,Best-Seller
23109,LED TEA LIGHTS,1679.24,29.99,56,596,10.64,2.88,0.07,54,54,31.1,11.04,High,Popular
23109,PACK OF SIX LED TEA LIGHTS,5088.05,27.96,182,1825,10.03,2.91,0.31,132,175,38.55,10.43,Premium,Best-Seller
23110,PARISIENNE KEY CABINET ,3978.45,15.98,249,715,2.87,5.72,0.16,158,247,25.18,2.89,Premium,Best-Seller
23111,PARISIENNE SEWING BOX,3748.0,26.58,141,320,2.27,12.29,0.63,80,140,46.85,2.29,Premium,Best-Seller
23112,PARISIENNE CURIO CABINET,3684.65,18.15,203,505,2.49,7.45,0.2,134,202,27.5,2.5,Premium,Best-Seller
23113,PANTRY CHOPPING BOARD,10498.92,214.26,49,2084,42.53,4.93,0.17,39,49,269.2,42.53,Premium,Popular
23114,VINTAGE LEAF CHOPPING BOARD  ,698.85,16.25,43,147,3.42,4.93,0.12,40,43,17.47,3.42,High,Occasional
23115,RED APPLES CHOPPING BOARD   ,698.85,17.47,40,147,3.68,4.93,0.13,38,38,18.39,3.87,High,Occasional
23116,VEGETABLE GARDEN CHOPPING BOARD,327.6,18.2,18,72,4.0,4.91,0.19,17,17,19.27,4.24,Medium,Occasional
23117,POPPY FIELDS CHOPPING BOARD,425.7,10.64,40,86,2.15,4.95,0.0,39,40,10.92,2.15,Medium,Occasional
23118,PARISIENNE JEWELLERY DRAWER ,5579.02,23.05,242,789,3.26,7.46,0.21,154,242,36.23,3.26,Premium,Best-Seller
23119,PACK OF 6 LARGE FRUIT STRAWS ,1276.33,10.82,118,2156,18.27,0.65,0.14,96,117,13.3,18.43,High,Popular
23120,PACK OF 6 SMALL FRUIT STRAWS,687.84,7.32,94,1720,18.3,0.42,0.01,69,81,9.97,21.23,High,Popular
23121,PACK OF 6 COCKTAIL PARASOL STRAWS,960.42,10.0,96,2465,25.68,0.42,0.01,81,87,11.86,28.33,High,Popular
23122,PARTY CHARMS 50 PIECES,1546.84,15.47,100,2084,20.84,0.82,0.03,89,95,17.38,21.94,High,Popular
23123,COCKTAIL SWORDS 50 PIECES,711.06,10.01,71,906,12.76,0.82,0.03,64,70,11.11,12.94,High,Popular
23124,18PC WOODEN CUTLERY SET DISPOSABLE,593.9,25.82,23,502,21.83,1.24,0.04,22,23,27.0,21.83,High,Occasional
23125,6PC WOOD PLATE SET DISPOSABLE,443.25,27.7,16,405,25.31,1.24,0.05,15,16,29.55,25.31,Medium,Occasional
23126,DOLLCRAFT GIRL AMELIE,178.2,22.28,8,36,4.5,4.95,0.0,8,8,22.28,4.5,Medium,Niche
23126,DOLLCRAFT GIRL AMELIE KIT,294.7,36.84,8,66,8.25,4.85,0.28,8,8,36.84,8.25,Medium,Niche
23126,FELTCRAFT GIRL AMELIE KIT,4883.53,18.29,267,999,3.74,5.02,0.72,186,260,26.26,3.84,Premium,Best-Seller
23127,DOLLCRAFT GIRL NICOLE,336.6,28.05,12,68,5.67,4.95,0.0,12,12,28.05,5.67,Medium,Occasional
23127,FELTCRAFT GIRL NICOLE KIT,3219.29,18.4,175,655,3.74,4.97,0.45,136,172,23.67,3.81,Premium,Best-Seller
23128,DOLLCRAFT BOY JEAN-PAUL ,373.9,31.16,12,82,6.83,4.88,0.23,12,12,31.16,6.83,Medium,Occasional
23128,FELTCRAFT BOY JEAN-PAUL KIT,1770.63,14.51,122,361,2.96,4.98,0.54,103,119,17.19,3.03,High,Popular
23129,HEART SHAPED HOLLY WREATH,3937.33,23.72,166,943,5.68,4.42,1.04,138,166,28.53,5.68,Premium,Best-Seller
23130,MISELTOE HEART WREATH ,312.8,62.56,5,80,16.0,4.07,0.18,5,5,62.56,16.0,Medium,Niche
23130,MISTLETOE HEART WREATH GREEN,3472.97,21.18,164,847,5.16,4.24,0.65,135,164,25.73,5.16,Premium,Best-Seller
23131,MISELTOE HEART WREATH CREAM,996.0,996.0,1,240,240.0,4.15,,1,1,996.0,240.0,High,Niche
23131,MISELTOE HEART WREATH WHITE,304.5,76.12,4,78,19.5,4.05,0.2,4,4,76.12,19.5,Medium,Niche
23131,MISTLETOE HEART WREATH CREAM,2361.18,22.07,107,582,5.44,4.21,0.57,86,105,27.46,5.54,Premium,Popular
23132,SMALL IVORY HEART WALL ORGANISER,5092.58,34.64,147,1026,6.98,5.74,0.86,115,144,44.28,7.12,Premium,Best-Seller
23133,LARGE IVORY HEART WALL ORGANISER,5151.16,38.16,135,760,5.63,7.99,0.61,94,135,54.8,5.63,Premium,Best-Seller
23134,LARGE ZINC HEART WALL ORGANISER,6414.48,173.36,37,1064,28.76,7.67,0.91,29,37,221.19,28.76,Premium,Occasional
23135,SMALL ZINC HEART WALL ORGANISER,5378.8,128.07,42,1538,36.62,5.19,1.0,31,42,173.51,36.62,Premium,Occasional
23136,IVORY WIRE SWEETHEART LETTER TRAY,467.05,10.61,44,127,2.89,3.73,0.1,39,44,11.98,2.89,Medium,Occasional
23137,ZINC WIRE SWEETHEART LETTER TRAY,253.24,12.66,20,80,4.0,3.45,0.77,18,20,14.07,4.0,Medium,Occasional
23138,SINGLE WIRE HOOK IVORY HEART,1226.55,15.14,81,887,10.95,1.45,0.03,60,76,20.44,11.67,High,Popular
23139,SINGLE WIRE HOOK PINK HEART,521.23,20.85,25,419,16.76,1.26,0.39,20,23,26.06,18.22,Medium,Occasional
23140,TRIPLE WIRE HOOK IVORY HEART,708.34,19.68,36,172,4.78,4.25,0.7,29,36,24.43,4.78,High,Occasional
23141,TRIPLE WIRE HOOK PINK HEART,215.0,11.94,18,68,3.78,3.59,1.29,18,18,11.94,3.78,Medium,Occasional
23142,IVORY WIRE KITCHEN ORGANISER,1157.2,30.45,38,118,3.11,10.3,0.34,34,38,34.04,3.11,High,Occasional
23143,ZINC WIRE KITCHEN ORGANISER,156.8,13.07,12,25,2.08,7.18,3.37,12,12,13.07,2.08,Medium,Occasional
23144,ZINC T-LIGHT HOLDER STARS SMALL,3916.5,16.25,241,4938,20.49,0.84,0.11,180,240,21.76,20.58,Premium,Best-Seller
23145,ZINC T-LIGHT HOLDER STAR LARGE,1906.99,12.63,151,2041,13.52,0.96,0.13,126,150,15.13,13.61,High,Best-Seller
23145,ZINC T-LIGHT HOLDER STARS LARGE,22.8,11.4,2,24,12.0,0.95,0.0,2,2,11.4,12.0,Low,Niche
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,2699.99,11.3,239,831,3.48,3.28,0.06,151,233,17.88,3.57,Premium,Best-Seller
23147,SINGLE ANTIQUE ROSE HOOK IVORY,2694.6,10.32,261,1860,7.13,1.45,0.01,170,256,15.85,7.27,Premium,Best-Seller
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,1726.49,6.99,247,2083,8.43,0.83,0.01,142,237,12.16,8.79,High,Best-Seller
23148,MINITURE ANTIQUE ROSE HOOK IVORY,40.8,10.2,4,48,12.0,0.85,0.0,4,4,10.2,12.0,Low,Niche
23149,ANTIQUE IVORY WIRE BOWL SMALL,268.92,12.81,21,108,5.14,2.49,0.0,18,21,14.94,5.14,Medium,Occasional
23150,IVORY SWEETHEART SOAP DISH,348.6,8.5,41,140,3.41,2.49,0.0,33,41,10.56,3.41,Medium,Occasional
23151,ZINC SWEETHEART SOAP DISH,106.9,5.35,20,60,3.0,1.98,0.8,18,19,5.94,3.16,Low,Occasional
23152,IVORY SWEETHEART WIRE LETTER RACK ,2039.76,13.16,155,552,3.56,3.74,0.05,108,152,18.89,3.63,Premium,Best-Seller
23153,ZINC SWEETHEART WIRE LETTER RACK,938.63,11.88,79,252,3.19,3.79,0.42,67,79,14.01,3.19,High,Popular
23154,SET OF 4 JAM JAR MAGNETS,5113.37,22.14,231,2533,10.97,2.08,0.14,141,217,36.27,11.67,Premium,Best-Seller
23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,1809.05,14.24,127,2275,17.91,0.82,0.03,84,125,21.54,18.2,High,Popular
23156,SET OF 5 MINI GROCERY MAGNETS,3361.7,17.42,193,1662,8.61,2.09,0.21,117,186,28.73,8.94,Premium,Best-Seller
23157,SET OF 6 NATIVITY MAGNETS ,6001.79,38.72,155,3023,19.5,2.15,0.4,111,147,54.07,20.56,Premium,Best-Seller
23158,SET OF 5 LUCKY CAT MAGNETS ,5244.2,27.46,191,2597,13.6,2.17,0.44,95,189,55.2,13.74,Premium,Best-Seller
